Date,Ad_name,Brand_Name,Languange,Funnel_Type,Convertions_Objective,Targeting_Type,Ads_Set,Format,Key_Message,Ads_Element,Platform,Placement,Amount_spent,Purchase_ZLP,Purchase_ZLF,SignUp,Landing_page_views,Link_clicks,Impressions,Reach
4/20/2023,Zurich ZLF_id_tf_wc_sd_Sign Up_img_THR_image B_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Sign Up,img,THR,image B,instagram,instagram_stories,58173,,,2,11,10,1221,1122
4/15/2023,Zurich ZLF_id_tf_wc_sd_Sign Up_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Sign Up,img,Ramadhan,image A,instagram,feed,166290,,,3,27,29,2041,1862
4/15/2023,Zurich ZLF_id_tf_wc_sd_Sign Up_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Sign Up,img,Ramadhan,image A,instagram,instagram_reels,39970,,,1,10,10,885,861
4/16/2023,Zurich ZLF_id_tf_wc_sd_Sign Up_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Sign Up,img,Ramadhan,image A,instagram,instagram_reels,52154,,,1,15,16,1153,1131
4/16/2023,Zurich ZLF_id_tf_wc_sd_Sign Up_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Sign Up,img,Ramadhan,image A,instagram,feed,105582,1,,2,15,17,958,914
4/17/2023,Zurich ZLF_id_tf_wc_sd_Sign Up_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Sign Up,img,Ramadhan,image A,instagram,feed,106339,,,,15,15,1755,1695
4/18/2023,Zurich ZLF_id_tf_wc_sd_Sign Up_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Sign Up,img,Ramadhan,image A,instagram,feed,137453,,,4,41,42,2834,2724
4/19/2023,Zurich ZLF_id_tf_wc_sd_Sign Up_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Sign Up,img,Ramadhan,image A,instagram,feed,117283,,,1,22,25,2158,2042
4/20/2023,Zurich ZLF_id_tf_wc_sd_Sign Up_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Sign Up,img,Ramadhan,image A,instagram,feed,63370,,,2,14,16,1421,1385
4/21/2023,Zurich ZLF_id_tf_wc_sd_Sign Up_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Sign Up,img,Ramadhan,image A,instagram,feed,74253.06836,,,3,18,20,1896,1840
4/16/2023,Zurich ZLF_id_tf_wc_sd_Broad IG_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Broad IG,img,Ramadhan,image A,instagram,feed,79754,,,2,19,22,981,941
4/17/2023,Zurich ZLF_id_tf_wc_sd_Broad IG_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Broad IG,img,Ramadhan,image A,instagram,feed,101181,,,,20,20,2488,2399
4/18/2023,Zurich ZLF_id_tf_wc_sd_Broad IG_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Broad IG,img,Ramadhan,image A,instagram,feed,118255,,,,20,23,3167,3059
4/19/2023,Zurich ZLF_id_tf_wc_sd_Broad IG_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Broad IG,img,Ramadhan,image A,instagram,feed,100170,,1,1,17,18,2439,2374
4/21/2023,Zurich ZLF_id_tf_wc_sd_Broad IG_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Broad IG,img,Ramadhan,image A,instagram,feed,74031,,,2,15,17,2141,2086
4/15/2023,Zurich ZLF_id_mf_wc_sd_Healthcare_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,mf,wc,sd,Healthcare,img,Ramadhan,image A,instagram,feed,67293,,,1,11,13,612,582
4/16/2023,Zurich ZLF_id_mf_wc_sd_Healthcare_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,mf,wc,sd,Healthcare,img,Ramadhan,image A,instagram,feed,53894,,,,11,12,543,522
4/17/2023,Zurich ZLF_id_mf_wc_sd_Healthcare_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,mf,wc,sd,Healthcare,img,Ramadhan,image A,instagram,feed,53395,,,,12,16,1023,971
4/18/2023,Zurich ZLF_id_mf_wc_sd_Healthcare_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,mf,wc,sd,Healthcare,img,Ramadhan,image A,instagram,feed,64857,,,,18,16,1689,1622
2/26/2023,Zurich ZLF_id_tf_wc_bd_Broad IG_vid_20K dapat apa?_Interview_RevoU_20022023,Zurich ZLF,id,tf,wc,bd,Broad IG,vid,20K dapat apa?,Interview,instagram,feed,126493,,,1,12,11,1248,1157
3/1/2023,Zurich ZLF_id_tf_wc_bd_Broad IG_vid_20K dapat apa?_Interview_RevoU_20022023,Zurich ZLF,id,tf,wc,bd,Broad IG,vid,20K dapat apa?,Interview,instagram,feed,81741,1,1,4,12,13,1061,1001
3/10/2023,Zurich ZLF_id_tf_wc_bd_Broad IG_vid_20K dapat apa?_Interview_RevoU_20022023,Zurich ZLF,id,tf,wc,bd,Broad IG,vid,20K dapat apa?,Interview,instagram,instagram_reels,43401,,,2,10,11,1123,1093
3/19/2023,Zurich ZLF_id_tf_wc_la_Sign Up_vid_Self Reward_Overthinking Woman_RevoU_10032023,Zurich ZLF,id,tf,wc,la,Sign Up,vid,Self Reward,Overthinking Woman,instagram,instagram_stories,40441,,,1,11,12,656,645
