referal_code,payment_date,payment_method,number_of_recurring_payment,amount
12302002638,7/25/2023,QRIS,1,127800
12303003332,7/11/2023,QRIS,1,76950
12303003332,8/11/2023,QRIS,2,76950
12307007054,7/5/2023,QRIS,1,4040000
12307007099,7/7/2023,QRIS,1,23130
12307007120,7/8/2023,QRIS,1,347625
12307007130,7/9/2023,QRIS,1,207090
12307007130,8/16/2023,QRIS,2,207090
12307007277,7/14/2023,QRIS,1,625500
12307007390,7/17/2023,QRIS,1,120600
12307007402,7/18/2023,QRIS,1,545400
12307007402,8/18/2023,QRIS,2,545400
12307007437,7/20/2023,QRIS,1,2660000
12307007482,7/21/2023,QRIS,1,371700
12307007513,7/22/2023,QRIS,1,287100
12307007513,8/18/2023,QRIS,2,287100
12307007556,7/24/2023,QRIS,1,62100
12307007633,7/25/2023,QRIS,1,203400
12307007667,7/26/2023,QRIS,1,44550
12307007801,7/31/2023,QRIS,1,750038
12307007808,7/30/2023,QRIS,1,311220
12307007808,8/28/2023,QRIS,2,311220
12308008414,8/17/2023,QRIS,1,156510
12208000054,3/13/2023,CREDIT_CARD,1,45900
12208000054,4/14/2023,CREDIT_CARD,2,45900
12208000054,5/15/2023,CREDIT_CARD,3,45900
12208000054,6/14/2023,CREDIT_CARD,4,45900
12208000054,7/14/2023,CREDIT_CARD,5,45900
12208000054,8/14/2023,CREDIT_CARD,6,45900
12209000121,3/2/2023,CREDIT_CARD,1,100000
12209000121,4/14/2023,CREDIT_CARD,2,100000
12209000121,5/3/2023,CREDIT_CARD,3,100000
12209000121,6/5/2023,CREDIT_CARD,4,100000
12209000121,7/3/2023,CREDIT_CARD,5,100000
12209000121,8/3/2023,CREDIT_CARD,6,100000
12211002938,5/13/2023,CREDIT_CARD,1,533700
12211002938,6/19/2023,CREDIT_CARD,2,533700
12211002938,7/18/2023,CREDIT_CARD,3,533700
12211002938,8/15/2023,CREDIT_CARD,4,533700
12211003411,4/2/2023,CREDIT_CARD,1,50040
12212003901,1/11/2023,CREDIT_CARD,1,194850
12212003901,2/7/2023,CREDIT_CARD,2,194850
12212003901,3/20/2023,CREDIT_CARD,3,194850
12212003901,3/24/2023,CREDIT_CARD,4,194850
12212003901,5/3/2023,CREDIT_CARD,5,194850
12212003901,6/19/2023,CREDIT_CARD,6,194850
12212003901,7/12/2023,CREDIT_CARD,7,194850
12212003901,8/14/2023,CREDIT_CARD,8,194850
12301000039,1/9/2023,CREDIT_CARD,1,820000
12301000039,2/13/2023,CREDIT_CARD,2,820000
12301000039,3/20/2023,CREDIT_CARD,3,820000
